comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,35,2010-02-10,0.2
Vallès Oriental,35,2010-02-11,0.1
Vallès Oriental,35,2010-02-12,0.0
Vallès Oriental,35,2010-02-13,0.1
Vallès Oriental,35,2010-02-14,0.2
Vallès Oriental,35,2010-02-15,22.2
Vallès Oriental,35,2010-02-16,16.3
Vallès Oriental,35,2010-02-17,1.7000000000000002
Vallès Oriental,35,2010-02-18,36.2
Vallès Oriental,35,2010-02-19,108.0
Vallès Oriental,35,2010-02-20,0.30000000000000004
Vallès Oriental,35,2010-02-21,10.1
Vallès Oriental,35,2010-02-22,0.4
Vallès Oriental,35,2010-02-23,0.0
Vallès Oriental,35,2010-02-24,0.0
Vallès Oriental,35,2010-02-25,0.0
Vallès Oriental,35,2010-02-26,0.0
Vallès Oriental,35,2010-02-27,0.7000000000000001
Vallès Oriental,35,2010-02-28,0.0
Vallès Oriental,35,2010-03-01,0.0
Vallès Oriental,35,2010-03-02,6.4
Vallès Oriental,35,2010-03-03,39.4
Vallès Oriental,35,2010-03-04,0.9
Vallès Oriental,35,2010-03-05,29.3
Vallès Oriental,35,2010-03-06,0.0
Vallès Oriental,35,2010-03-07,23.8
Vallès Oriental,35,2010-03-08,130.6
Vallès Oriental,35,2010-03-09,0.0
Vallès Oriental,35,2010-03-10,0.1
Vallès Oriental,35,2010-03-11,0.1
Vallès Oriental,35,2010-03-12,0.5
Vallès Oriental,35,2010-03-13,0.1
Vallès Oriental,35,2010-03-14,0.3
Vallès Oriental,35,2010-03-15,0.0
Vallès Oriental,35,2010-03-16,0.0
Vallès Oriental,35,2010-03-17,0.1
Vallès Oriental,35,2010-03-18,0.1
Vallès Oriental,35,2010-03-19,0.0
Vallès Oriental,35,2010-03-20,0.0
Vallès Oriental,35,2010-03-21,19.7
Vallès Oriental,35,2010-03-22,34.5
Vallès Oriental,35,2010-03-23,0.2
Vallès Oriental,35,2010-03-24,0.2
Vallès Oriental,35,2010-03-25,1.5
Vallès Oriental,35,2010-03-26,0.0
Vallès Oriental,35,2010-03-27,0.0
Vallès Oriental,35,2010-03-28,0.0
Vallès Oriental,35,2010-03-29,0.0
Vallès Oriental,35,2010-03-30,6.0
Vallès Oriental,35,2010-03-31,0.0
