comarca;municipi;codiE;lat;lon;alt;data_alta;data_baixa;estat_actual 
Selva;Lloret de Mar;CF;41.72346;2.84282;63;05/02/1996;16/06/2003;Desmantellada
Selva;Santa Coloma de Farners;CK;41.86472;2.66451;163;05/02/1996;08/06/2004;Desmantellada
Selva;Santa Coloma de Farners;XS;41.86489;2.66446;162;26/03/2013;;Operativa
Selva;Vilobí d'Onyar;VN;41.88244;2.74262;117;10/11/1998;;Operativa
Solsonès;Clariana de Cardener;CA;41.95378;1.58510;693;02/05/1996;10/07/2012;Desmantellada
Solsonès;Guixers;MV;42.13598;1.67295;845;17/06/2015;;Operativa
Solsonès;La Coma i la Pedra;Z8;42.18254;1.52407;2316;03/10/2002;;Operativa
Solsonès;Lladurs;VO;42.08745;1.42792;785;05/05/1998;;Operativa
Solsonès;Navès;MW;42.00707;1.65239;545;22/03/2010;;Operativa
Solsonès;Pinós;VP;41.80483;1.53853;659;03/07/1995;;Operativa
Solsonès;Solsona;XT;41.98766;1.51165;691;12/07/2012;;Operativa
Tarragonès;Constantí;VQ;41.17130;1.16774;112;29/05/1990;;Operativa
Tarragonès;Tarragona;XE;41.10393;1.20100;5;05/02/2009;;Operativa
Tarragonès;Torredembarra;DK;41.14677;1.41846;2;24/11/1999;;Operativa
Terra Alta;Batea;WD;41.08671;0.31884;382;23/12/1999;;Operativa
Terra Alta;Gandesa;XP;41.06581;0.43006;349;30/11/2011;;Operativa
Terra Alta;Horta de Sant Joan;D8;40.95134;0.30565;515;28/01/1998;;Operativa
Urgell;Sant Martí de Riucorb;WL;41.57236;1.08820;413;05/02/2002;;Operativa
Urgell;Tàrrega;C7;41.66695;1.16234;427;06/11/1995;;Operativa
Urgell;Tornabous;VR;41.68994;1.04401;291;17/09/1997;06/08/2013;Desmantellada
Urgell;Tornabous;XX;41.68835;1.04476;291;06/08/2013;;Operativa
Val d'Aran;Arres;Z6;42.77011;0.73198;2228;20/09/2001;;Operativa
Val d'Aran;Vielha e Mijaran;CU;42.69856;0.79397;1002;15/02/1996;01/06/2022;Desmantellada
Val d'Aran;Vielha e Mijaran;VS;42.63835;0.77889;2247;15/07/1999;;Operativa
Val d'Aran;Vielha e Mijaran;YN;42.69660;0.80211;1027;11/03/2021;;Operativa
